adress_kids	BP_PARAM	text	Адрес детей
age	BP_PARAM	text	Возраст
animals	BP_PARAM	text	Животные
attraction	BP_PARAM	text	Привлекательность
bank	BP_PARAM	text	Банк
birth_certificate	BP_PARAM	file	Свидетельство о рождении
city	BP_PARAM	text	Город
commit_deal	BP_PARAM	text	Фиксация сделки
down_payment_period	BP_PARAM	text	Срок взноса
famStatus	BP_PARAM	text	Семейное положение
form_payment	BP_PARAM	text	Форма оплаты
initial_fee	BP_PARAM	text	Первоначальный взнос
inn	BP_PARAM	text	ИНН
kids	BP_PARAM	text	Дети
kindOfActivity	BP_PARAM	text	Род деятельности
marriage_certificate	BP_PARAM	file	Свидетельство о браке
math_capital	BP_PARAM	text	Мат. капитал
notarised	BP_PARAM	text	Нотариальное
ostatok_capital	BP_PARAM	text	Остаток капитала
other_docs	BP_PARAM	file	Прочие документы
Parameter1	BP_PARAM	text	Параметр 1
Parameter2	BP_PARAM	text	Параметр 2
pasport	BP_PARAM	text	Паспорт
property_type	BP_PARAM	text	Тип недвижимости
sber	BP_PARAM	text	Сбер
sertifikat_sotrudnichestva	BP_PARAM	file	Сертификат сотрудничества
sex	BP_PARAM	text	Пол
snils	BP_PARAM	text	СНИЛС
summ_MSK	BP_PARAM	text	Сумма МСК
summ_sotrudnichestva	BP_PARAM	text	Сумма сотрудничества
target	BP_PARAM	text	Цель покупки
TargetUser	BP_PARAM	user	Получатель уведомления
type_doc	BP_PARAM	text	Тип документа
type_registr	BP_PARAM	text	Тип регистрации
CONTACT.EMAIL	CONTACT	crm	E-mail
CONTACT.ID	CONTACT	integer	ID контакта
CONTACT.LAST_NAME	CONTACT	string	Фамилия
CONTACT.NAME	CONTACT	string	Имя
CONTACT.SECOND_NAME	CONTACT	string	Отчество
ASSIGNED_BY_ID	DEAL	employee	Ответственный
CATEGORY_ID	DEAL	crm_category	Направление (воронка)
CONTACT_ID	DEAL	crm	Контакт
CONTACT_IDS	DEAL	crm	Контакты
DATE_CREATE	DEAL	datetime	Дата создания
ID	DEAL	integer	ID
OPPORTUNITY	DEAL	money	Сумма
SOURCE_DESCRIPTION	DEAL	string	Описание источника
SOURCE_ID	DEAL	crm_status	Источник
STAGE_ID	DEAL	crm_status	Стадия
TITLE	DEAL	string	Название
UF_CRM_121B01D4630C9	DEAL	string	—
UF_CRM_1489656054	DEAL	string	—
UF_CRM_1489662019	DEAL	string	—
UF_CRM_1504065664	DEAL	string	—
UF_CRM_1514285145	DEAL	string	—
UF_CRM_1514285621	DEAL	enumeration	Форма оплаты (портрет)
UF_CRM_1514285671	DEAL	enumeration	Банк (портрет)
UF_CRM_1514285709	DEAL	string	—
UF_CRM_1514285720	DEAL	string	—
UF_CRM_1514285737	DEAL	string	—
UF_CRM_1514285784	DEAL	enumeration	Тип собственника
UF_CRM_1516087526	DEAL	string	—
UF_CRM_1516110338	DEAL	string	—
UF_CRM_1516188182	DEAL	string	—
UF_CRM_1517818034	DEAL	string	—
UF_CRM_1519044876	DEAL	string	—
